Team,Rim.Rank,Rim.Freq,Short.Mid.Rank,Short.Mid.Freq,Long.Mid.Rank,Long.Mid.Freq,Corner.Three.Rank,Corner.Three.Freq,Non.Corner.Rank,Non.Corner.Freq,Rim.Color,Rim.Opacity,Short.Mid.Color,Short.Mid.Opacity,Long.Mid.Color,Long.Mid.Opacity,Corner.Three.Color,Corner.Three.Opacity,Non.Corner.Color,Non.Corner.Opacity,Year,Location
Utah,23,33.6%,3,22.1%,27,6.0%,2,11.4%,18,26.9%,Blue,0.3,Red,0.7,Blue,0.7,Red,0.7,Gray,0.3,2019,home
Washington,27,32.6%,15,19.0%,2,16.4%,30,4.9%,15,27.0%,Blue,0.7,Gray,0.3,Red,0.7,Blue,0.7,Gray,0.3,2019,home
Atlanta,15,34.3%,16,19.2%,22,7.7%,11,8.7%,7,30.1%,Gray,0.3,Gray,0.3,Blue,0.3,Gray,0.3,Red,0.3,2019,away
Boston,7,36.0%,18,18.5%,18,9.6%,23,7.2%,11,28.7%,Red,0.3,Gray,0.3,Gray,0.3,Blue,0.3,Gray,0.3,2019,away
Brooklyn,3,38.3%,28,15.1%,27,6.1%,7,9.0%,4,31.5%,Red,0.7,Blue,0.7,Blue,0.7,Red,0.3,Red,0.7,2019,away
Charlotte,10,35.5%,7,21.1%,29,5.8%,16,8.2%,9,29.4%,Red,0.3,Red,0.3,Blue,0.7,Gray,0.3,Red,0.3,2019,away
Chicago,4,38.3%,22,17.7%,26,7.5%,12,8.6%,13,27.8%,Red,0.7,Blue,0.3,Blue,0.7,Gray,0.3,Gray,0.3,2019,away
Cleveland,19,33.6%,2,22.9%,17,9.8%,22,7.5%,19,26.2%,Gray,0.3,Red,0.7,Gray,0.3,Blue,0.3,Gray,0.3,2019,away
Dallas,27,31.8%,25,16.8%,20,8.7%,6,9.1%,2,33.6%,Blue,0.7,Blue,0.3,Gray,0.3,Red,0.3,Red,0.7,2019,away
Denver,23,32.9%,6,21.2%,9,13.1%,21,7.5%,21,25.2%,Blue,0.3,Red,0.3,Red,0.3,Blue,0.3,Blue,0.3,2019,away
Detroit,5,37.4%,15,19.5%,24,7.6%,4,10.5%,22,25.0%,Red,0.7,Gray,0.3,Blue,0.3,Red,0.7,Blue,0.3,2019,away
Golden State,8,35.8%,24,17.0%,2,16.2%,29,6.4%,25,24.7%,Red,0.3,Blue,0.3,Red,0.7,Blue,0.7,Blue,0.3,2019,away
Houston,13,35.1%,30,12.7%,30,5.3%,1,11.9%,1,35.0%,Gray,0.3,Blue,0.7,Blue,0.7,Red,0.7,Red,0.7,2019,away
Indiana,9,35.5%,11,20.0%,4,15.1%,19,7.7%,30,21.7%,Red,0.3,Gray,0.3,Red,0.7,Gray,0.3,Blue,0.7,2019,away
LA Clippers,22,32.9%,8,20.6%,12,12.7%,8,9.0%,23,24.8%,Blue,0.3,Red,0.3,Gray,0.3,Red,0.3,Blue,0.3,2019,away
LA Lakers,1,39.1%,27,15.6%,11,12.8%,3,10.5%,29,22.0%,Red,0.7,Blue,0.7,Gray,0.3,Red,0.7,Blue,0.7,2019,away
Memphis,21,33.5%,1,25.4%,21,8.6%,18,7.8%,24,24.8%,Blue,0.3,Red,0.7,Blue,0.3,Gray,0.3,Blue,0.3,2019,away
Miami,26,31.9%,20,18.1%,14,11.2%,9,9.0%,8,29.8%,Blue,0.7,Gray,0.3,Gray,0.3,Red,0.3,Red,0.3,2019,away
Milwaukee,18,33.6%,21,18.0%,19,9.4%,10,8.8%,6,30.3%,Gray,0.3,Blue,0.3,Gray,0.3,Red,0.3,Red,0.3,2019,away
Minnesota,6,36.0%,19,18.4%,28,6.0%,26,6.6%,3,32.9%,Red,0.3,Gray,0.3,Blue,0.7,Blue,0.7,Red,0.7,2019,away
New Orleans,14,34.4%,23,17.4%,16,10.1%,5,9.6%,12,28.5%,Gray,0.3,Blue,0.3,Gray,0.3,Red,0.7,Gray,0.3,2019,away
New York,11,35.4%,14,19.5%,3,16.1%,24,7.0%,28,22.0%,Gray,0.3,Gray,0.3,Red,0.7,Blue,0.3,Blue,0.7,2019,away
Oklahoma City,17,33.7%,12,20.0%,7,14.2%,27,6.5%,20,25.6%,Gray,0.3,Gray,0.3,Red,0.3,Blue,0.7,Gray,0.3,2019,away
Orlando,24,32.9%,13,19.8%,5,14.6%,30,5.3%,16,27.4%,Blue,0.3,Gray,0.3,Red,0.7,Blue,0.7,Gray,0.3,2019,away
Philadelphia,29,30.9%,3,22.9%,13,12.0%,17,7.8%,18,26.4%,Blue,0.7,Red,0.7,Gray,0.3,Gray,0.3,Gray,0.3,2019,away
Phoenix,20,33.5%,5,22.0%,10,13.1%,14,8.4%,27,23.0%,Gray,0.3,Red,0.7,Red,0.3,Gray,0.3,Blue,0.7,2019,away
Portland,28,30.9%,9,20.5%,8,14.2%,25,6.8%,14,27.6%,Blue,0.7,Red,0.3,Red,0.3,Blue,0.3,Gray,0.3,2019,away
Sacramento,25,32.9%,17,18.8%,15,10.9%,15,8.3%,10,29.2%,Blue,0.3,Gray,0.3,Gray,0.3,Gray,0.3,Red,0.3,2019,away
San Antonio,30,28.1%,4,22.6%,1,19.7%,28,6.5%,26,23.1%,Blue,0.7,Red,0.7,Red,0.7,Blue,0.7,Blue,0.7,2019,away
Toronto,2,39.0%,29,14.3%,23,7.6%,13,8.6%,5,30.5%,Red,0.7,Blue,0.7,Blue,0.3,Gray,0.3,Red,0.7,2019,away
Utah,16,34.0%,10,20.3%,25,7.6%,2,10.7%,15,27.5%,Gray,0.3,Red,0.3,Blue,0.3,Red,0.7,Gray,0.3,2019,away
Washington,12,35.2%,26,15.8%,6,14.5%,20,7.6%,17,26.9%,Gray,0.3,Blue,0.7,Red,0.3,Gray,0.3,Gray,0.3,2019,away
Atlanta,8,39.2%,22,16.1%,29,7.0%,4,10.6%,8,27.1%,Red,0.3,Blue,0.3,Blue,0.7,Red,0.7,Red,0.3,2018,home
Boston,27,32.4%,17,17.8%,10,13.8%,8,8.2%,6,27.8%,Blue,0.7,Gray,0.3,Red,0.3,Red,0.3,Red,0.3,2018,home
Brooklyn,17,37.4%,13,18.8%,28,7.2%,12,7.5%,5,29.1%,Gray,0.3,Gray,0.3,Blue,0.7,Gray,0.3,Red,0.7,2018,home
Charlotte,11,38.9%,21,16.7%,19,10.3%,13,7.5%,10,26.7%,Gray,0.3,Blue,0.3,Gray,0.3,Gray,0.3,Red,0.3,2018,home
Chicago,7,39.5%,12,19.2%,9,14.1%,27,5.9%,27,21.3%,Red,0.3,Gray,0.3,Red,0.3,Blue,0.7,Blue,0.7,2018,home
Cleveland,25,32.8%,7,20.3%,6,14.7%,15,7.4%,17,24.9%,Blue,0.3,Red,0.3,Red,0.3,Gray,0.3,Gray,0.3,2018,home
Dallas,24,33.5%,15,18.6%,25,8.7%,10,7.8%,2,31.3%,Blue,0.3,Gray,0.3,Blue,0.3,Red,0.3,Red,0.7,2018,home
Denver,16,37.5%,5,21.1%,21,9.1%,19,6.8%,13,25.4%,Gray,0.3,Red,0.7,Blue,0.3,Gray,0.3,Gray,0.3,2018,home
Detroit,23,34.6%,3,21.6%,23,8.8%,6,10.0%,16,25.1%,Blue,0.3,Red,0.7,Blue,0.3,Red,0.3,Gray,0.3,2018,home
Golden State,29,28.5%,18,17.5%,3,17.6%,22,6.7%,4,29.7%,Blue,0.7,Gray,0.3,Red,0.7,Blue,0.3,Red,0.7,2018,home
Houston,26,32.5%,26,14.6%,30,3.6%,1,13.1%,1,36.2%,Blue,0.7,Blue,0.7,Blue,0.7,Red,0.7,Red,0.7,2018,home
Indiana,13,38.2%,23,16.0%,2,18.3%,17,7.0%,29,20.4%,Gray,0.3,Blue,0.3,Red,0.7,Gray,0.3,Blue,0.7,2018,home
LA Clippers,3,41.3%,16,18.4%,13,12.7%,26,6.3%,28,21.2%,Red,0.7,Gray,0.3,Gray,0.3,Blue,0.7,Blue,0.7,2018,home
LA Lakers,1,44.5%,28,13.8%,20,10.1%,21,6.7%,18,24.9%,Red,0.7,Blue,0.7,Gray,0.3,Blue,0.3,Gray,0.3,2018,home
Memphis,22,35.7%,2,22.6%,17,10.7%,14,7.4%,19,23.7%,Blue,0.3,Red,0.7,Gray,0.3,Gray,0.3,Gray,0.3,2018,home
Miami,19,36.3%,4,21.4%,22,8.8%,3,10.9%,25,22.6%,Gray,0.3,Red,0.7,Blue,0.3,Red,0.7,Blue,0.3,2018,home
Milwaukee,2,41.8%,30,11.6%,27,7.6%,11,7.7%,3,31.3%,Red,0.7,Blue,0.7,Blue,0.7,Gray,0.3,Red,0.7,2018,home
Minnesota,21,35.8%,10,19.8%,5,15.2%,23,6.6%,24,22.7%,Blue,0.3,Red,0.3,Red,0.7,Blue,0.3,Blue,0.3,2018,home
New Orleans,4,41.3%,9,20.1%,24,8.7%,16,7.1%,23,22.8%,Red,0.7,Red,0.3,Blue,0.3,Gray,0.3,Blue,0.3,2018,home
New York,9,39.1%,27,14.5%,7,14.3%,24,6.4%,12,25.7%,Red,0.3,Blue,0.7,Red,0.3,Blue,0.3,Gray,0.3,2018,home
Oklahoma City,5,41.2%,25,15.8%,16,11.0%,7,9.6%,26,22.4%,Red,0.7,Blue,0.3,Gray,0.3,Red,0.3,Blue,0.7,2018,home
Orlando,28,30.8%,11,19.2%,4,16.3%,18,6.9%,9,26.7%,Blue,0.7,Gray,0.3,Red,0.7,Gray,0.3,Red,0.3,2018,home
Philadelphia,18,36.7%,8,20.3%,15,12.4%,30,5.4%,15,25.2%,Gray,0.3,Red,0.3,Gray,0.3,Blue,0.7,Gray,0.3,2018,home
Phoenix,15,37.8%,14,18.7%,14,12.6%,9,8.0%,22,22.9%,Gray,0.3,Gray,0.3,Gray,0.3,Red,0.3,Blue,0.3,2018,home
Portland,6,40.3%,29,12.5%,8,14.2%,29,5.6%,7,27.4%,Red,0.3,Blue,0.7,Red,0.3,Blue,0.7,Red,0.3,2018,home
Sacramento,20,35.9%,6,20.6%,11,13.2%,20,6.7%,20,23.6%,Gray,0.3,Red,0.3,Gray,0.3,Gray,0.3,Gray,0.3,2018,home
San Antonio,30,25.6%,1,26.2%,1,22.3%,28,5.9%,30,20.0%,Blue,0.7,Red,0.7,Red,0.7,Blue,0.7,Blue,0.7,2018,home
Toronto,12,38.5%,19,17.3%,18,10.3%,5,10.5%,21,23.4%,Gray,0.3,Gray,0.3,Gray,0.3,Red,0.7,Blue,0.3,2018,home
Utah,14,37.8%,20,17.1%,26,7.6%,2,12.2%,14,25.3%,Gray,0.3,Gray,0.3,Blue,0.7,Red,0.7,Gray,0.3,2018,home
Washington,10,38.9%,24,15.9%,12,12.7%,25,6.3%,11,26.0%,Red,0.3,Blue,0.3,Gray,0.3,Blue,0.3,Gray,0.3,2018,home
Atlanta,3,40.1%,24,16.3%,29,6.7%,6,9.8%,10,27.0%,Red,0.7,Blue,0.3,Blue,0.7,Red,0.3,Red,0.3,2018,away
Boston,29,30.6%,16,18.4%,6,15.2%,14,7.8%,6,28.0%,Blue,0.7,Gray,0.3,Red,0.3,Gray,0.3,Red,0.3,2018,away
Brooklyn,7,37.4%,21,17.4%,27,7.8%,16,7.4%,2,30.0%,Red,0.3,Blue,0.3,Blue,0.7,Gray,0.3,Red,0.7,2018,away
Charlotte,22,33.8%,13,19.2%,19,11.4%,17,7.3%,5,28.3%,Blue,0.3,Gray,0.3,Gray,0.3,Gray,0.3,Red,0.7,2018,away
Chicago,15,35.5%,4,22.9%,14,13.3%,18,7.1%,27,21.1%,Gray,0.3,Red,0.7,Gray,0.3,Gray,0.3,Blue,0.7,2018,away
Cleveland,20,34.2%,5,22.8%,12,13.5%,23,6.8%,24,22.7%,Gray,0.3,Red,0.7,Gray,0.3,Blue,0.3,Blue,0.3,2018,away
Dallas,23,33.6%,17,18.2%,25,9.8%,9,8.4%,3,29.9%,Blue,0.3,Gray,0.3,Blue,0.3,Red,0.3,Red,0.7,2018,away
Denver,25,33.1%,1,23.6%,20,10.8%,22,7.0%,14,25.6%,Blue,0.3,Red,0.7,Gray,0.3,Blue,0.3,Gray,0.3,2018,away
Detroit,11,35.9%,25,15.6%,23,10.3%,2,10.3%,7,27.9%,Gray,0.3,Blue,0.3,Blue,0.3,Red,0.7,Red,0.3,2018,away
Golden State,26,32.4%,28,14.5%,3,17.2%,7,8.6%,9,27.4%,Blue,0.7,Blue,0.7,Red,0.7,Red,0.3,Red,0.3,2018,away
Houston,21,34.1%,30,13.6%,30,4.4%,1,11.8%,1,36.1%,Blue,0.3,Blue,0.7,Blue,0.7,Red,0.7,Red,0.7,2018,away
Indiana,5,38.2%,18,17.9%,2,17.6%,24,6.7%,30,19.6%,Red,0.7,Gray,0.3,Red,0.7,Blue,0.3,Blue,0.7,2018,away
LA Clippers,12,35.8%,3,23.0%,9,14.7%,27,6.0%,29,20.5%,Gray,0.3,Red,0.7,Red,0.3,Blue,0.7,Blue,0.7,2018,away
LA Lakers,2,40.9%,23,17.1%,21,10.5%,13,7.8%,20,23.7%,Red,0.7,Blue,0.3,Blue,0.3,Gray,0.3,Gray,0.3,2018,away
Memphis,24,33.4%,9,21.6%,16,13.1%,8,8.5%,22,23.3%,Blue,0.3,Red,0.3,Gray,0.3,Red,0.3,Blue,0.3,2018,away
Miami,16,35.5%,12,19.7%,22,10.5%,10,8.2%,11,26.2%,Gray,0.3,Gray,0.3,Blue,0.3,Red,0.3,Gray,0.3,2018,away
Milwaukee,4,39.4%,27,15.1%,28,7.7%,11,8.1%,4,29.7%,Red,0.7,Blue,0.7,Blue,0.7,Gray,0.3,Red,0.7,2018,away
Minnesota,14,35.7%,8,21.8%,7,15.0%,19,7.1%,28,20.5%,Gray,0.3,Red,0.3,Red,0.3,Gray,0.3,Blue,0.7,2018,away
New Orleans,8,37.3%,6,22.7%,24,10.1%,25,6.4%,21,23.5%,Red,0.3,Red,0.3,Blue,0.3,Blue,0.3,Blue,0.3,2018,away
New York,13,35.7%,14,18.8%,5,16.4%,28,5.2%,18,24.0%,Gray,0.3,Gray,0.3,Red,0.7,Blue,0.7,Gray,0.3,2018,away
Oklahoma City,10,36.9%,20,17.8%,15,13.3%,12,8.1%,19,23.9%,Red,0.3,Gray,0.3,Gray,0.3,Gray,0.3,Gray,0.3,2018,away
Orlando,28,31.6%,22,17.4%,4,16.4%,20,7.0%,8,27.6%,Blue,0.7,Blue,0.3,Red,0.7,Gray,0.3,Red,0.3,2018,away
Philadelphia,18,35.1%,15,18.5%,8,14.9%,21,7.0%,16,24.5%,Gray,0.3,Gray,0.3,Red,0.3,Blue,0.3,Gray,0.3,2018,away
Phoenix,19,34.4%,7,22.5%,17,12.9%,15,7.6%,25,22.7%,Gray,0.3,Red,0.3,Gray,0.3,Gray,0.3,Blue,0.3,2018,away
Portland,6,38.0%,19,17.9%,11,13.9%,30,4.9%,15,25.3%,Red,0.3,Gray,0.3,Gray,0.3,Blue,0.7,Gray,0.3,2018,away
Sacramento,17,35.5%,10,21.4%,10,14.2%,26,6.1%,23,22.9%,Gray,0.3,Red,0.3,Red,0.3,Blue,0.7,Blue,0.3,2018,away
San Antonio,30,27.4%,2,23.5%,1,21.7%,29,5.2%,26,22.2%,Blue,0.7,Red,0.7,Red,0.7,Blue,0.7,Blue,0.7,2018,away
Toronto,27,32.3%,11,20.2%,18,11.8%,4,9.9%,12,25.7%,Blue,0.7,Gray,0.3,Gray,0.3,Red,0.7,Gray,0.3,2018,away
Utah,1,40.9%,26,15.6%,26,9.0%,3,10.0%,17,24.4%,Red,0.7,Blue,0.7,Blue,0.7,Red,0.7,Gray,0.3,2018,away
Washington,9,37.3%,29,13.9%,13,13.4%,5,9.8%,13,25.6%,Red,0.3,Blue,0.7,Gray,0.3,Red,0.7,Gray,0.3,2018,away
Atlanta,19,33.5%,27,15.1%,9,16.6%,4,9.5%,10,25.3%,Gray,0.3,Blue,0.7,Red,0.3,Red,0.7,Red,0.3,2017,home
Boston,18,33.8%,17,18.5%,17,14.7%,8,8.2%,12,24.7%,Gray,0.3,Gray,0.3,Gray,0.3,Red,0.3,Gray,0.3,2017,home
Brooklyn,24,32.4%,9,19.9%,28,9.4%,7,8.8%,2,29.5%,Blue,0.3,Red,0.3,Blue,0.7,Red,0.3,Red,0.7,2017,home
Charlotte,8,37.3%,14,18.7%,14,15.8%,28,5.1%,20,23.1%,Red,0.3,Gray,0.3,Gray,0.3,Blue,0.7,Gray,0.3,2017,home
Chicago,25,32.4%,20,17.5%,11,16.5%,14,6.7%,5,27.0%,Blue,0.3,Gray,0.3,Gray,0.3,Gray,0.3,Red,0.7,2017,home
Cleveland,11,35.7%,23,15.7%,15,15.3%,6,9.2%,14,24.0%,Gray,0.3,Blue,0.3,Gray,0.3,Red,0.3,Gray,0.3,2017,home
Dallas,29,30.4%,19,17.6%,8,17.0%,17,6.4%,3,28.6%,Blue,0.7,Gray,0.3,Red,0.3,Gray,0.3,Red,0.7,2017,home
Denver,6,38.0%,8,20.0%,29,8.8%,19,6.4%,6,26.7%,Red,0.3,Red,0.3,Blue,0.7,Gray,0.3,Red,0.3,2017,home
Detroit,22,32.8%,3,22.3%,20,13.9%,10,7.5%,16,23.5%,Blue,0.3,Red,0.7,Gray,0.3,Red,0.3,Gray,0.3,2017,home
Golden State,28,31.4%,13,18.8%,5,19.4%,29,4.7%,7,25.7%,Blue,0.7,Gray,0.3,Red,0.7,Blue,0.7,Red,0.3,2017,home
Houston,17,34.7%,30,11.2%,30,6.9%,1,11.8%,1,35.4%,Gray,0.3,Blue,0.7,Blue,0.7,Red,0.7,Red,0.7,2017,home
Indiana,13,35.3%,24,15.7%,1,22.0%,20,6.4%,25,20.6%,Gray,0.3,Blue,0.3,Red,0.7,Gray,0.3,Blue,0.3,2017,home
LA Clippers,1,43.9%,22,16.8%,27,11.0%,15,6.6%,24,21.7%,Red,0.7,Blue,0.3,Blue,0.7,Gray,0.3,Blue,0.3,2017,home
LA Lakers,2,42.6%,28,14.9%,25,12.6%,27,5.3%,13,24.5%,Red,0.7,Blue,0.7,Blue,0.3,Blue,0.7,Gray,0.3,2017,home
Memphis,5,38.7%,21,16.8%,18,14.2%,18,6.4%,15,23.9%,Red,0.7,Blue,0.3,Gray,0.3,Gray,0.3,Gray,0.3,2017,home
Miami,15,34.8%,15,18.7%,21,13.8%,3,9.5%,18,23.2%,Gray,0.3,Gray,0.3,Blue,0.3,Red,0.7,Gray,0.3,2017,home
Milwaukee,3,41.7%,25,15.7%,13,16.1%,13,7.0%,29,19.5%,Red,0.7,Blue,0.3,Gray,0.3,Gray,0.3,Blue,0.7,2017,home
Minnesota,16,34.8%,2,22.7%,6,18.3%,21,6.3%,30,17.9%,Gray,0.3,Red,0.7,Red,0.3,Blue,0.3,Blue,0.7,2017,home
New Orleans,10,35.8%,5,21.8%,24,12.9%,11,7.4%,23,22.0%,Red,0.3,Red,0.7,Blue,0.3,Gray,0.3,Blue,0.3,2017,home
New York,21,33.4%,10,19.8%,2,21.3%,26,5.3%,27,20.1%,Blue,0.3,Red,0.3,Red,0.7,Blue,0.7,Blue,0.7,2017,home
Oklahoma City,4,39.6%,29,12.9%,10,16.5%,9,7.8%,21,23.1%,Red,0.7,Blue,0.7,Red,0.3,Red,0.3,Blue,0.3,2017,home
Orlando,20,33.5%,7,21.2%,19,14.1%,23,5.9%,9,25.4%,Gray,0.3,Red,0.3,Gray,0.3,Blue,0.3,Red,0.3,2017,home
Philadelphia,26,32.0%,6,21.6%,16,14.7%,30,4.6%,4,27.1%,Blue,0.7,Red,0.3,Gray,0.3,Blue,0.7,Red,0.7,2017,home
Phoenix,7,37.7%,12,19.3%,22,13.6%,16,6.6%,22,22.7%,Red,0.3,Gray,0.3,Blue,0.3,Gray,0.3,Blue,0.3,2017,home
Portland,9,36.7%,26,15.2%,12,16.1%,22,6.3%,8,25.6%,Red,0.3,Blue,0.7,Gray,0.3,Blue,0.3,Red,0.3,2017,home
Sacramento,30,28.6%,1,25.0%,3,20.6%,24,5.4%,26,20.5%,Blue,0.7,Red,0.7,Red,0.7,Blue,0.3,Blue,0.7,2017,home
San Antonio,23,32.5%,4,22.1%,7,18.0%,12,7.1%,28,20.1%,Blue,0.3,Red,0.7,Red,0.3,Gray,0.3,Blue,0.7,2017,home
Toronto,12,35.7%,16,18.6%,26,11.1%,5,9.4%,11,25.3%,Gray,0.3,Gray,0.3,Blue,0.7,Red,0.7,Gray,0.3,2017,home
Utah,14,35.1%,18,18.2%,23,13.0%,2,10.5%,19,23.2%,Gray,0.3,Gray,0.3,Blue,0.3,Red,0.7,Gray,0.3,2017,home
Washington,27,31.5%,11,19.6%,4,20.3%,25,5.3%,17,23.2%,Blue,0.7,Gray,0.3,Red,0.7,Blue,0.3,Gray,0.3,2017,home
Atlanta,12,34.5%,23,17.6%,18,15.3%,4,8.9%,16,23.7%,Gray,0.3,Blue,0.3,Gray,0.3,Red,0.7,Gray,0.3,2017,away
Boston,27,31.3%,16,19.3%,15,16.4%,13,6.9%,8,26.2%,Blue,0.7,Gray,0.3,Gray,0.3,Gray,0.3,Red,0.3,2017,away
Brooklyn,17,34.0%,15,19.4%,29,8.5%,10,7.9%,2,30.1%,Gray,0.3,Gray,0.3,Blue,0.7,Red,0.3,Red,0.7,2017,away
Charlotte,24,31.8%,8,20.9%,8,19.1%,30,4.3%,15,23.8%,Blue,0.3,Red,0.3,Red,0.3,Blue,0.7,Gray,0.3,2017,away
Chicago,21,32.2%,13,19.7%,16,16.3%,19,6.4%,11,25.3%,Blue,0.3,Gray,0.3,Gray,0.3,Gray,0.3,Gray,0.3,2017,away
Cleveland,14,34.4%,28,14.3%,21,14.9%,2,9.9%,6,26.5%,Gray,0.3,Blue,0.7,Blue,0.3,Red,0.7,Red,0.3,2017,away
Dallas,30,29.5%,26,16.5%,11,17.9%,17,6.5%,3,29.6%,Blue,0.7,Blue,0.7,Gray,0.3,Gray,0.3,Red,0.7,2017,away
Denver,15,34.1%,6,21.7%,28,11.4%,26,5.5%,4,27.2%,Gray,0.3,Red,0.3,Blue,0.7,Blue,0.7,Red,0.7,2017,away
Detroit,20,32.5%,9,20.5%,14,16.5%,11,7.8%,20,22.7%,Gray,0.3,Red,0.3,Gray,0.3,Gray,0.3,Gray,0.3,2017,away
Golden State,22,32.2%,27,16.0%,6,19.6%,18,6.5%,9,25.8%,Blue,0.3,Blue,0.7,Red,0.3,Gray,0.3,Red,0.3,2017,away
Houston,6,35.3%,30,11.8%,30,6.6%,1,10.9%,1,35.4%,Red,0.3,Blue,0.7,Blue,0.7,Red,0.7,Red,0.7,2017,away
Indiana,13,34.4%,25,16.9%,1,23.3%,22,5.8%,26,19.5%,Gray,0.3,Blue,0.3,Red,0.7,Blue,0.3,Blue,0.7,2017,away
LA Clippers,1,38.8%,14,19.6%,26,11.9%,12,6.9%,19,22.7%,Red,0.7,Gray,0.3,Blue,0.7,Gray,0.3,Gray,0.3,2017,away
LA Lakers,3,36.9%,12,19.8%,25,12.6%,25,5.5%,12,25.1%,Red,0.7,Gray,0.3,Blue,0.3,Blue,0.3,Gray,0.3,2017,away
Memphis,2,37.0%,22,17.9%,12,17.4%,24,5.7%,23,22.1%,Red,0.7,Blue,0.3,Gray,0.3,Blue,0.3,Blue,0.3,2017,away
Miami,11,34.9%,20,18.1%,24,13.4%,6,8.6%,13,25.1%,Gray,0.3,Gray,0.3,Blue,0.3,Red,0.3,Gray,0.3,2017,away
Milwaukee,10,34.9%,17,19.2%,10,18.0%,9,7.9%,25,20.0%,Red,0.3,Gray,0.3,Red,0.3,Red,0.3,Blue,0.3,2017,away
Minnesota,26,31.6%,1,25.3%,5,19.7%,27,5.3%,30,18.1%,Blue,0.7,Red,0.7,Red,0.7,Blue,0.7,Blue,0.7,2017,away
New Orleans,5,36.3%,18,18.4%,19,15.1%,7,8.1%,22,22.1%,Red,0.7,Gray,0.3,Gray,0.3,Red,0.3,Blue,0.3,2017,away
New York,25,31.7%,4,23.2%,2,21.4%,28,5.1%,29,18.6%,Blue,0.3,Red,0.7,Red,0.7,Blue,0.7,Blue,0.7,2017,away
Oklahoma City,16,34.1%,29,13.9%,3,20.4%,8,8.1%,17,23.5%,Gray,0.3,Blue,0.7,Red,0.7,Red,0.3,Gray,0.3,2017,away
Orlando,18,32.6%,11,20.2%,20,15.1%,15,6.6%,10,25.5%,Gray,0.3,Gray,0.3,Gray,0.3,Gray,0.3,Red,0.3,2017,away
Philadelphia,9,34.9%,19,18.4%,22,14.2%,23,5.7%,5,26.8%,Red,0.3,Gray,0.3,Blue,0.3,Blue,0.3,Red,0.7,2017,away
Phoenix,4,36.3%,10,20.2%,23,14.1%,14,6.8%,21,22.6%,Red,0.7,Red,0.3,Blue,0.3,Gray,0.3,Blue,0.3,2017,away
Portland,19,32.6%,7,21.4%,13,17.0%,29,5.0%,14,24.1%,Gray,0.3,Red,0.3,Gray,0.3,Blue,0.7,Gray,0.3,2017,away
Sacramento,23,31.8%,3,23.3%,9,19.0%,20,6.3%,27,19.5%,Blue,0.3,Red,0.7,Red,0.3,Gray,0.3,Blue,0.7,2017,away
San Antonio,29,29.8%,2,25.1%,4,19.9%,21,6.0%,28,19.2%,Blue,0.7,Red,0.7,Red,0.7,Blue,0.3,Blue,0.7,2017,away
Toronto,7,35.1%,21,18.0%,27,11.9%,5,8.6%,7,26.3%,Red,0.3,Blue,0.3,Blue,0.7,Red,0.7,Red,0.3,2017,away
Utah,8,35.0%,24,17.6%,17,15.5%,3,9.1%,18,22.9%,Red,0.3,Blue,0.3,Gray,0.3,Red,0.7,Gray,0.3,2017,away
Washington,28,30.0%,5,22.0%,7,19.5%,16,6.6%,24,21.9%,Blue,0.7,Red,0.7,Red,0.3,Gray,0.3,Blue,0.3,2017,away
